id	type	ListingDate	PriceLabel	SoldDate	SoldPrice	Beds	Baths	Cars	EER	PlotSize	Agency.Name	Slug
63524	House	2022-09-02	$630,000	2022-09-29	$600,000	3	1	2	1.0	433.0	Bertram Ellis	71-chirnside-circuit-kambah-act-2902
63527	House	2022-09-02	Contact agent	2022-09-12	Undisclosed	5	3	4		741.0	Smile Elite	1-warekila-close-berowra-heights-nsw-2082
63531	Apartment	2022-09-02	Auction	2022-09-28	$950,000	2	2	2	6.0		LJ Hooker Canberra City	305-155-northbourne-avenue-turner-act-2612
63533	House	2022-09-02	$960,000-$980,000	2022-10-07	$1,150,000	3	2	5		8.0	Henley Property - Cooma	21-pygmy-possum-place-cooma-nsw-2630
63536	Land	2022-09-02	$725,000 +	2022-11-24	$725,000	0	0	0	0.0	750.0	LJ Hooker Kaleen	1-tipping-place-mckellar-act-2617
63541	House	2022-09-02	Auction	2022-09-24	Undisclosed	3	1	0	0.5	713.0	Luton Dickson	67-burn-street-downer-act-2602
63543	Apartment	2022-09-02	$460,000+	2022-10-14	$475,000	2	2	2	6.0		Luton Dickson	7-16-david-miller-crescent-casey-act-2913
63544	House	2022-09-02	$3,000,000 - $3,300,000	2022-11-18	Undisclosed	6	3	2		759.0	Dwyer Properties Sapphire Coast	20-ocean-drive-merimbula-nsw-2548
63546	Apartment	2022-09-02	$750,000	2022-10-05	$750,000	2	2	1			Smile Elite	102-211-213-west-street-umina-beach-nsw-2257
63550	House	2022-09-02	Auction - Guide $1,100,000+	2022-09-24	Undisclosed	5	2	2	0.5	842.0	Luton Tuggeranong	20-appel-crescent-fadden-act-2904
